NUTTAB index,name,quantity,quantity_unit,notes
"F005896","whole",76.0,"g","Average of major brands Tip Top, Wonder White, Mighty Soft"
"F005898","whole",67.0,"g","Average of major brands Tip Top, Wonder White, Mighty Soft"
"F005897","whole",70.0,"g","Average of major brands Tip Top, Wonder White, Mighty Soft"
"F001688","tetra pack",250.0,"ml","Size of Sanitarium up and go available in 2012. Volume multiplied by the density to determine the gram amount."
"F001374","regular slice",140.0,"g","Manual weighing of 6 commercial banana breads by FSANZ in 2012."
"F002159","regular square",125.0,"g","From AUSNUT  2007 record 02E10298 Cake, lamington, unfilled"
"F002168","mini cupcake",20.0,"g","Manual weighing of commercial mini cupcakes by FSANZ in 2012."
"F002168","medium cupcake",165.0,"g","Manual weighing by FSANZ in 2011."
"F003575","regular doughnut",97.0,"g","Average label information for commercial products available in 2012"
"F003573","regular doughnut",50.0,"g","Average label information for commercial products available in 2012"
"F003574","regular doughnut",63.0,"g","Average of label information for commercial products available in 2012"
"F005877","medium, uniced",163.0,"g","Manual weighing of medium/regular commercial muffins by FSANZ in 2011."
"F005882","medium, uniced",163.0,"g","Imputed from berry muffin"
"F006700","pikelet",25.0,"g","Based on product information available for Coles, Woolworths and Golden pikelets in February 2013"
"F008173","scone",65.0,"g","Based on product information available on the Bakers Delight website in 2011"
"F008172","scone",85.0,"g","Based on product information available on the Bakers Delight website in 2016"
"F006143","sachet, dry/uncooked",34.0,"g","Based on product information available for common brands of oat sachets in 2011"
"F007164","sachet, cooked with liquid",198.0,"g","Based on label information for the weight of oats to liquid with a weight change factor applied."
"F004362","burger with bread roll",350.0,"g","Manual weighing of takeaway hamburgers by FSANZ in 2012."
"F006055","packet, uncooked",79.0,"g","Manually weighed by FSANZ in 2011"
"F006053","packet, cooked and drained",145.0,"g","Weighed  by FSANZ in 2011 after preparing according to label instructions"
"F006054","packet, cooked, not drained",385.0,"g","Weighed  by FSANZ in 2011 after preparing according to label instructions"
"F008737","single serve",220.0,"g","Based on product information available for common brands in April 2013"
"F008738","single serve",220.0,"g","Imputed from regular variety"
"F003305","regular",67.0,"g","From AUSNUT 2007 02E40059 Croissant, plain"
"F006493","regular individual size",140.0,"g","Average of product information available for Borgs & Herbert Adams in 2013"
"F006493","mini/party size",31.0,"g","Average of product information available for Borgs & Herbert Adams in 2013"
"F006665","regular individual size",175.0,"g","Average of commonly available commercial meat pies in 2011"
"F006665","mini/party size",38.0,"g","Average of commonly available commercial meat pies available in 2011"
"F006667","regular individual size",175.0,"g","From 02E60292 Pie, savoury, meat, commercial"
"F006667","mini/party size",38.0,"g","From 02E60292 Pie, savoury, meat, commercial"
"F008098","regular individual size",130.0,"g","Average of commercial brands commonly available in 2012."
"F008098","mini/party size",40.0,"g","Average of commercial brands commonly available in 2012."
"F008101","mini/party size",40.0,"g","Average of commercial brands commonly available in 2012."
"F008101","regular individual size",130.0,"g","Average of commercial brands commonly available in 2012."
"F008794","mini/party size",30.0,"g","Based on product information available for Coles, Ho Mai & Colonial Farm in 2012."
"F008794","regular individual size",70.0,"g","Based on a range of measures from AUSNUT 1999 and AUSNUT 2007"
"F006679","regular individual size",125.0,"g","Based on product information for Sara Lee individual apple pies available in 2012"
"F009102","regular individual size",135.0,"g","Based on the size of sweet tarts and pies published in AUSNUT 2007"
"F008065","plastic fish",3.0,"g","Based on product information available for fish shaped soy sauce packets"
"F008083","packet, single serve",14.0,"g","Based on product information available in 2012."
"F008085","packet, single serve",14.0,"g","From 10A10444, Sauce, tomato, commercial, regular"
"F002414","sandwich slice",21.0,"g","Mean of three slices of pre-sliced cheddar cheese available in 2012"
"F002413","sandwich slice",21.0,"g","Mean of three slices of pre-sliced cheddar cheese available in 2012"
"F002412","sandwich slice",21.0,"g","Mean of three slices of pre-sliced cheddar cheese available in 2012"
"F002428","sandwich slice",21.0,"g","Mean of three slices of pre-sliced cheddar cheese available in 2012"
"F002425","sandwich slice",21.0,"g","Mean of three slices of pre-sliced cheddar cheese available in 2012"
"F002444","individual/small tub",40.0,"g","Kraft individual cream cheese tubs available in 2012."
"F004508","individual cup/tub",127.0,"g","Average of Skinny Cow, Weight Watchers, Bulla, Connoisseur & Billabong individual serve products available in 2013"
"F003488","tub from 6 pack",150.0,"g","Based on product information available in 2012"
"F009694","tub from 6 pack",200.0,"g","Assumes same as other 6 packs of full fat yoghurt"
"F009741","tub from 12 pack",100.0,"g","Coles, Ski divine, Brooklea product information"
"F009741","tub from 6 pack",200.0,"g","Brooklea indulge, Coles, Ski Divine product information"
"F009749","tub from 6 pack",175.0,"g","Yoplait original product information"
"F009749","tub from twin pack",200.0,"g","Ski divine product information"
"F008155","standard long/thin",72.0,"g","From AUSNUT 2007 08G10020 Sausage, vegetarian style, fried, unspecified oil"
"F008151","standard long/thin",72.0,"g","From AUSNUT 2007 08G10020 Sausage, vegetarian style, fried, unspecified oil"
"F008153","fillet",100.0,"g","Based on product information available for Quorn label data fro plain & crumbed fillets in 2012"
"F009739","tub from twin pack",175.0,"g","Soy life product information"
"F001973","packet, single serve",7.0,"g","Size of an individual serve packet of butter available in 2012."
"F001971","packet, single serve",7.0,"g","Size of an individual serve packet of butter available in 2012."
