NUTTAB index,name,quantity,quantity_unit,notes
"F006250","medium",15.0,"g","From AUSNUT 2007 record 13A11121 Onion, spring, raw"
"F006249","medium",9.0,"g","Calculated from raw weight assuming -38% weight change factor"
"F006328","medium",72.0,"g","Based on size of the small and medium measures created for AUSNUT 1999"
"F006326","medium",67.0,"g","Based on size of the small and medium measures created for AUSNUT 1999"
"F006327","medium",67.0,"g","Based on size of the small and medium measures created for AUSNUT 1999"
"F007235","medium",117.0,"g","Based on product information from Red rooster website available in 2018"
"F007236","medium",175.0,"g","Based on product information from Nandos (2010) and Oporto (2018)."
"F007238","takeaway medium/regular",200.0,"g","Manual weighing of medium chip serves undertaken by FSANZ in 2012."
"F007242","takeaway medium/regular",200.0,"g","Manual weighing of medium chip serves undertaken by FSANZ in 2012."
"F007247","medium",175.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007244","medium",116.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007245","medium",172.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007254","medium",137.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007250","medium",91.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007252","medium",134.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007308","medium",69.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007305","medium",46.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007306","medium",68.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007325","medium",175.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007314","medium",116.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007320","medium",172.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007361","medium",240.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007358","medium",158.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007359","medium",235.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007368","medium",240.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007364","medium",158.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007366","medium",235.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007386","medium",245.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007383","medium",116.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007384","medium",277.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007269","medium",104.0,"g","Based on product information from McDonalds website available in 2018"
"F007606","medium",20.0,"g","From AUSNUT 2007 record 13A11236 Radish, white skinned, peeled, raw"
"F007608","medium",20.0,"g","From AUSNUT 2007 record 13A11236 Radish, white skinned, peeled, raw"
"F008227","medium",5.5,"g","From AUSNUT 2007 record 13A11185 Shallot, raw"
"F008226","medium",6.0,"g","From AUSNUT 2007 record 13A11303 Shallot, stir-fried"
"F008373","medium",3.3,"g","From AUSNUT 2007 record 13A11188 Snow pea, raw"
"F008372","medium",4.0,"g","From AUSNUT 2007 record 13A11190 Snow pea, stir-fried"
"F008371","medium",4.0,"g","From AUSNUT 2007 record 13A11190 Snow pea, stir-fried"
"F008811","medium",57.0,"g","Assumes the mid-point between small and large. Assumes 100% edible portion."
"F008810","medium",48.0,"g","Calculated from raw weight assuming -16% weight change factor"
"F009021","medium",276.0,"g","Assumes the mid-point between small and large. Assumes 89% edible portion."
"F009020","medium",257.0,"g","Calculated from raw weight assuming -7% weight change factor"
"F009033","medium",344.0,"g","Calculated from raw weight assuming -18% weight change factor"
"F009034","medium",390.0,"g","Calculated from raw weight assuming -7% weight change factor"
"F009190","medium",8.0,"g","AUSNUT 2007 record 13A11216 Tomato, cherry"
"F009193","medium",152.0,"g","FSANZ 2011. Student research project."
"F009211","medium",124.0,"g","Manual weighing of 5 medium, trimmed roma tomatoes by FSANZ in 2012"
"F009340","regular",122.0,"g","From AUSNUT 2007 record 13A11225 Turnip, white, peeled, raw"
"F009339","regular",116.0,"g","From AUSNUT 2007 record 13A11226 Turnip, white, peeled, boiled"
"F009775","medium",195.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 93% edible portion."
"F009774","medium",137.0,"g","Calculated from raw weight assuming -30% weight change factor"
"F009773","medium",164.0,"g","Calculated from raw weight assuming -16% weight change factor"
"F009766","medium",195.0,"g","From green zucchini"
"F009765","medium",195.0,"g","From green zucchini"
