brand,variety,name,variety_after_name,notes,category,index_name,quantity,quantity_unit,density,water,energy,energy_unit,protein,fat,saturated_fat,carbohydrate,sugar,fibre,sodium,potassium,salt,calcium,iron,starch,carbohydrate_by_diff,usda_index,nuttab_index,data_source,monounsaturated_fat,polyunsaturated_fat,omega_3,sugar_alcohol
Max's,,"chilli sauce",0,"blended raw",condiments,chilli-sauce-max,,,,,,,,,,,,,,,,,,,,,,,,,,
Max's,,"chickpea bread",0,,legumes,chickpea-bread,260,g,,,,,,,,,,,,,,,,,,,,,,,,
Mum's,,yoghurt,0,,dairy,yoghurt-mum,,,,,,,,,,,,,,,,,,,,,,,,,,
,"with less oil","peanut butter",1,,"nuts and seeds",pb-lessoil,,,,,,,,,,,,,,,,,,,,,,,,,,
Mum’s,,"blueberry cake",0,,desserts,blueberry-cake,874,g,,,,,,,,,,,,,,,,,,,,,,,,
Max's,avocado,mayonnaise,0,,condiments,avocado-mayo,,,,,,,,,,,,,,,,,,,,,,,,,,
Max's,Japanese,mayonnaise,0,,condiments,japanese-mayo,,,,,,,,,,,,,,,,,,,,,,,,,,
